Estacao;Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Velocidade do Vento Media
83648;01/01/1961;32,2;24,0;26,86;73,25;;3,4;;6,0;3666667,0
83648;02/01/1961;25,5;23,4;24,42;89,5;1,2;3,7;;0,0;3333333,0
83648;03/01/1961;28,8;22,4;24,78;83,0;7,9;1,4;;0,2;4333333,0
83648;04/01/1961;28,0;22,6;24,68;88,5;1,6;1,6;;0,0;2666667,0
83648;05/01/1961;27,6;23,6;25,46;88,0;0,2;1,5;;0,0;1666667,0
83648;06/01/1961;29,4;23,9;26,02;84,25;2,4;1,7;;1,4;3,0
83648;07/01/1961;32,2;22,9;26,78;76,75;0,0;2,0;;6,1;4333333,0
83648;08/01/1961;32,6;23,4;27,14;76,5;1,8;2,2;;10,4;3,0
83648;09/01/1961;32,2;24,0;26,92;79,75;1,3;2,9;;5,1;4,0
83648;10/01/1961;31,6;23,2;26,16;84,25;24,6;2,7;;3,9;3,0
83648;11/01/1961;30,1;22,2;25,06;84,5;1,8;1,9;;5,8;3,0
83648;12/01/1961;27,0;22,4;23,96;90,5;11,5;1,9;;0,0;0,666667
83648;13/01/1961;27,6;22,0;24,16;86,0;1,8;1,0;;0,4;0,666667
83648;14/01/1961;24,0;21,2;22,52;86,75;96,4;1,2;;0,0;2,0
83648;15/01/1961;29,8;21,8;25,66;79,5;9,4;1,0;;8,0;2333333,0
83648;16/01/1961;30,0;23,0;25,8;83,25;0,7;2,3;;11,0;1333333,0
83648;17/01/1961;30,4;22,9;26,36;79,0;0,0;2,4;;12,0;2333333,0
83648;18/01/1961;31,9;23,2;26,58;73,75;0,0;2,8;;12,3;3666667,0
83648;19/01/1961;32,0;22,7;26,58;73,75;0,0;3,5;;10,9;2666667,0
83648;20/01/1961;30,2;23,6;26,34;76,5;0,0;3,5;;6,1;4333333,0
83648;21/01/1961;30,0;22,4;25,88;75,75;1,3;2,9;;10,0;4333333,0
83648;22/01/1961;32,8;22,2;27,24;71,5;0,0;3,0;;11,8;3,0
83648;23/01/1961;33,8;21,8;27,36;78,0;0,0;3,8;;7,9;1,0
83648;24/01/1961;32,2;23,9;27,72;82,0;0,0;2,6;;4,6;0,666667
83648;25/01/1961;33,8;25,0;27,76;73,0;0,0;2,1;;2,8;3333333,0
83648;26/01/1961;26,6;23,6;24,72;90,0;8,0;3,0;;0,0;5,0
83648;27/01/1961;24,6;20,4;21,8;93,0;54,2;0,4;;0,0;2333333,0
83648;28/01/1961;27,4;20,4;24,42;88,5;47,6;1,5;;1,9;2,0
83648;29/01/1961;32,8;22,9;26,38;85,0;18,5;0,6;;5,1;3333333,0
83648;30/01/1961;34,0;22,1;26,58;81,25;35,7;1,8;;8,0;1333333,0
83648;31/01/1961;31,2;23,1;25,78;83,5;20,9;2,4;;9,8;1,0
83648;01/02/1961;32,6;23,1;26,5;78,0;19,5;2,1;;11,1;3666667,0
83648;02/02/1961;32,0;23,0;26,16;73,5;0,0;3,2;;12,2;3666667,0
83648;03/02/1961;32,8;22,0;26,0;78,75;0,0;3,6;;11,1;4333333,0
83648;04/02/1961;31,0;22,6;26,46;75,5;0,0;3,2;;11,9;4333333,0
83648;05/02/1961;31,8;23,1;26,74;73,0;0,0;3,3;;12,6;3333333,0
83648;06/02/1961;33,8;22,8;27,18;72,5;0,0;3,4;;12,0;4666667,0
83648;07/02/1961;32,2;22,9;26,86;76,75;0,0;3,4;;12,1;4,0
83648;08/02/1961;33,8;23,3;27,22;74,75;0,0;3,1;;12,2;3333333,0
83648;09/02/1961;32,6;23,1;27,14;72,0;0,0;3,4;;10,1;2,0
83648;10/02/1961;32,2;23,1;26,96;75,5;0,0;3,3;;10,3;2333333,0
83648;11/02/1961;33,8;23,3;27,54;71,25;0,0;3,0;;12,0;4333333,0
83648;12/02/1961;34,4;23,9;28,1;75,75;0,0;4,2;;6,3;1666667,0
83648;13/02/1961;31,4;23,0;25,84;82,75;0,0;3,2;;3,1;1333333,0
83648;14/02/1961;24,8;22,4;23,46;85,0;44,1;1,6;;0,0;4333333,0
83648;15/02/1961;27,8;20,9;23,86;80,0;6,8;2,5;;6,9;3,0
83648;16/02/1961;30,2;20,7;25,3;81,0;0,0;2,0;;11,6;1,0
83648;17/02/1961;31,4;22,0;26,36;77,25;0,0;2,2;;9,0;1,0
83648;18/02/1961;31,8;22,3;26,26;81,25;1,0;2,1;;8,6;1,0
83648;19/02/1961;32,4;23,6;26,76;76,5;0,0;2,5;;6,5;2,0
83648;20/02/1961;31,2;23,2;26,64;76,0;0,0;3,0;;8,9;2,0
83648;21/02/1961;31,6;23,6;27,06;74,75;0,0;2,8;;11,1;1333333,0
83648;22/02/1961;33,4;23,2;27,22;76,25;2,0;2,3;;11,3;2666667,0
83648;23/02/1961;33,2;23,8;27,44;74,0;0,0;2,9;;9,6;3666667,0
83648;24/02/1961;33,4;24,0;27,24;75,5;0,0;3,6;;9,6;4333333,0
83648;25/02/1961;33,6;23,9;27,76;68,75;0,0;3,7;;11,0;3666667,0
83648;26/02/1961;34,0;25,0;28,0;67,25;0,0;4,6;;11,0;4,0
83648;27/02/1961;34,4;24,0;27,7;69,0;0,0;5,0;;11,4;4333333,0
83648;28/02/1961;34,1;23,6;27,58;74,0;0,0;4,4;;10,1;2333333,0
83648;01/03/1961;34,8;23,2;27,56;73,5;0,0;3,3;;8,2;2666667,0
83648;02/03/1961;27,9;22,4;24,44;81,25;3,0;2,7;;0,7;2333333,0
83648;03/03/1961;29,4;22,0;24,6;78,25;0,0;3,3;;8,1;3,0
83648;04/03/1961;31,2;21,7;26,42;77,75;1,4;2,7;;11,7;2,0
83648;05/03/1961;32,8;23,6;27,24;77,25;0,0;2,7;;10,0;3333333,0
83648;06/03/1961;33,0;23,9;27,52;75,75;0,0;3,1;;10,9;2666667,0
83648;07/03/1961;31,8;23,2;26,84;74,25;0,0;2,8;;10,1;3,0
83648;08/03/1961;30,0;23,4;26,02;81,75;0,0;2,0;;2,3;2333333,0
83648;09/03/1961;35,2;24,2;27,92;78,0;0,0;1,8;;7,7;2666667,0
83648;10/03/1961;33,8;24,1;27,94;80,5;0,0;2,9;;9,5;1,0
83648;11/03/1961;33,0;23,8;28,0;76,0;0,0;2,9;;10,4;2,0
83648;12/03/1961;33,8;23,9;27,82;72,25;0,0;2,9;;10,8;3,0
83648;13/03/1961;33,8;24,0;27,56;72,0;0,0;2,7;;10,6;4,0
83648;14/03/1961;35,4;23,6;27,76;70,25;0,0;4,2;;10,8;3666667,0
83648;15/03/1961;34,2;24,3;27,74;72,5;0,0;4,1;;10,8;2666667,0
83648;16/03/1961;34,4;24,0;27,8;70,25;0,0;3,8;;10,5;4,0
83648;17/03/1961;35,8;25,1;28,32;72,75;0,0;4,6;;9,6;2766667,0
83648;18/03/1961;36,2;24,9;28,66;72,0;0,0;4,2;;9,8;3333333,0
83648;19/03/1961;32,4;24,7;27,76;74,0;0,0;3,9;;7,1;2333333,0
83648;20/03/1961;31,4;24,4;27,4;71,5;0,0;3,1;;8,7;2333333,0
83648;21/03/1961;31,8;23,3;27,34;72,25;0,0;2,7;;10,2;2666667,0
83648;22/03/1961;31,0;23,6;26,32;79,25;0,0;2,6;;7,7;1,0
83648;23/03/1961;32,2;22,6;26,88;76,25;3,5;2,0;;8,6;0,666667
83648;24/03/1961;31,8;22,9;26,46;79,25;5,1;2,1;;9,9;0,0
83648;25/03/1961;31,4;22,2;26,12;76,0;3,9;2,5;;10,1;1666667,0
83648;26/03/1961;32,0;22,6;26,7;75,0;0,9;2,8;;9,8;2333333,0
83648;27/03/1961;28,7;22,7;25,14;73,0;2,2;3,1;;9,2;6,0
83648;28/03/1961;27,0;21,6;23,64;60,75;0,0;5,5;;8,9;6,0
83648;29/03/1961;26,2;18,1;21,98;69,0;0,7;6,7;;6,2;5,0
83648;30/03/1961;27,4;18,6;22,32;74,5;2,0;4,7;;6,9;6,0
83648;31/03/1961;28,2;18,8;23,0;67,5;;3,3;;7,3;2666667,0
83648;01/04/1961;30,2;20,4;24,22;67,0;0,0;4,0;;6,4;1,0
83648;02/04/1961;30,8;21,2;25,64;73,0;0,0;3,5;;10,6;1333333,0
83648;03/04/1961;33,6;22,2;26,84;75,75;0,0;3,0;;9,4;1666667,0
83648;04/04/1961;33,2;23,7;27,42;76,5;0,0;3,1;;9,0;3666667,0
83648;05/04/1961;35,2;24,8;28,08;71,0;0,0;3,4;;9,8;3333333,0
83648;06/04/1961;32,2;23,6;27,2;74,75;0,0;4,3;;7,6;2,0
83648;07/04/1961;29,8;23,6;25,88;80,0;0,0;2,9;;3,0;3,0
83648;08/04/1961;31,4;22,8;25,5;84,5;7,2;2,5;;7,3;1,0
83648;09/04/1961;31,8;22,1;26,06;76,5;0,3;1,6;;8,4;1,0
83648;10/04/1961;31,2;23,2;26,64;74,0;0,0;2,9;;10,2;2,0
83648;11/04/1961;32,4;23,1;26,76;73,0;0,0;2,9;;10,3;2333333,0
83648;12/04/1961;33,6;22,8;26,68;76,25;0,0;3,3;;9,9;3,0
83648;13/04/1961;32,2;22,7;26,42;74,5;0,0;3,5;;10,2;2333333,0
83648;14/04/1961;32,2;22,9;26,62;73,75;0,0;3,4;;10,0;2,0
83648;15/04/1961;31,6;22,6;26,14;71,0;0,0;3,3;;10,0;1333333,0
83648;16/04/1961;31,8;22,2;26,16;72,25;0,0;3,1;;8,9;1,0
83648;17/04/1961;31,6;21,7;25,7;70,75;0,0;3,2;;10,0;2333333,0
83648;18/04/1961;31,6;21,9;26,14;67,75;0,0;3,6;;9,9;2666667,0
83648;19/04/1961;34,8;22,4;26,4;71,5;0,0;3,7;;9,4;3666667,0
83648;20/04/1961;26,1;21,8;23,1;79,5;0,0;3,9;;2,0;4666667,0
83648;21/04/1961;27,0;20,6;22,96;79,0;0,0;3,4;;0,8;3,0
83648;22/04/1961;30,2;21,9;24,44;82,25;0,0;2,7;;4,2;0,666667
83648;23/04/1961;30,8;21,2;25,44;77,5;0,4;1,7;;8,2;1,0
83648;24/04/1961;30,8;23,0;26,04;79,0;0,0;2,8;;8,9;1,0
83648;25/04/1961;31,7;22,6;26,68;74,5;0,0;2,5;;8,5;1666667,0
83648;26/04/1961;33,4;23,2;27,28;69,75;0,0;2,9;;9,3;4666667,0
83648;27/04/1961;27,6;21,4;23,86;79,5;4,4;3,6;;5,3;3,0
83648;28/04/1961;27,8;22,0;24,16;82,0;0,0;3,0;;0,9;1333333,0
83648;29/04/1961;25,0;21,6;22,92;91,75;0,0;1,4;;0,0;0,0
83648;30/04/1961;29,6;20,6;24,08;81,5;54,4;0,1;;8,4;1666667,0
83648;01/05/1961;29,4;20,4;24,34;77,0;0,0;2,6;;9,4;2333333,0
83648;01/06/1961;28,2;18,8;21,84;79,0;;2,3;;3,1;1666667,0
83648;02/06/1961;25,1;19,9;22,02;85,75;1,2;2,4;;0,9;2333333,0
83648;03/06/1961;27,8;20,1;23,42;80,5;0,0;1,6;;9,2;1,0
83648;04/06/1961;30,8;20,6;24,48;77,75;0,0;2,1;;9,3;2333333,0
83648;05/06/1961;29,4;20,6;24,28;77,5;0,0;2,3;;9,2;2333333,0
83648;06/06/1961;28,8;20,4;24,0;77,5;0,0;2,2;;8,3;1,0
83648;07/06/1961;25,0;20,1;21,66;91,0;10,8;2,1;;1,4;0,0
83648;08/06/1961;26,6;19,7;22,34;88,0;64,5;0,3;;1,7;0,333333
83648;09/06/1961;27,4;20,2;22,68;81,75;36,8;1,6;;8,3;1666667,0
83648;10/06/1961;27,0;20,2;22,6;83,25;0,9;1,8;;8,1;1,0
83648;11/06/1961;29,4;19,7;23,86;71,75;0,0;2,0;;9,0;2333333,0
83648;12/06/1961;31,6;20,2;24,4;78,75;0,0;2,6;;9,3;2333333,0
83648;13/06/1961;30,0;21,2;24,1;81,0;0,0;2,4;;9,2;1666667,0
83648;14/06/1961;27,4;19,9;23,28;87,25;0,0;1,9;;8,4;2333333,0
83648;15/06/1961;24,8;19,4;21,26;88,75;0,0;1,8;;3,0;4333333,0
83648;16/06/1961;21,8;18,8;19,66;74,25;0,0;2,5;;1,2;4333333,0
83648;17/06/1961;24,0;18,3;20,38;75,5;0,0;4,1;;7,1;4333333,0
83648;18/06/1961;19,8;18,0;18,84;89,75;95,3;2,4;;0,0;3,0
83648;19/06/1961;25,8;17,2;20,66;76,0;15,5;0,9;;6,8;1,0
83648;20/06/1961;25,2;16,2;19,88;80,0;0,0;2,0;;2,8;1,0
83648;21/06/1961;28,4;18,3;22,1;76,5;0,0;1,9;;9,2;1666667,0
83648;22/06/1961;28,0;17,3;22,1;78,5;0,0;2,3;;8,4;1,0
83648;23/06/1961;26,0;18,1;21,46;78,75;;2,4;;8,5;3,0
83648;24/06/1961;25,2;20,0;21,48;80,0;0,0;2,7;;3,3;3333333,0
83648;25/06/1961;26,4;19,0;21,96;84,5;1,2;2,1;;7,0;2,0
83648;26/06/1961;26,8;19,6;22,24;88,0;2,6;2,3;;3,7;0,0
83648;27/06/1961;25,8;18,7;21,08;85,5;17,4;1,2;;7,2;1333333,0
83648;28/06/1961;25,4;18,9;21,74;82,75;4,3;1,1;;5,2;1,0
83648;29/06/1961;25,6;19,0;21,36;85,25;1,4;1,6;;6,7;0,666667
83648;30/06/1961;24,6;18,3;21,0;85,0;1,4;1,7;;1,2;0,333333
83648;01/07/1961;26,8;18,8;21,76;80,0;2,1;1,5;;7,7;1333333,0
83648;02/07/1961;26,0;18,9;20,96;87,0;4,9;1,7;;6,1;1333333,0
83648;03/07/1961;26,8;18,1;21,2;84,5;3,6;1,1;;6,9;2,0
83648;04/07/1961;25,4;19,1;21,58;84,25;8,8;1,6;;5,6;0,666667
83648;05/07/1961;24,4;18,8;21,16;88,5;14,9;1,4;;2,2;0,666667
83648;06/07/1961;27,4;18,3;21,58;80,0;1,6;0,9;;6,7;0,666667
83648;07/07/1961;27,2;18,0;21,72;84,0;0,0;1,8;;8,7;1666667,0
83648;08/07/1961;29,2;19,9;23,5;69,5;0,0;2,1;;9,3;2,0
83648;09/07/1961;24,4;18,7;20,22;83,25;3,8;3,2;;4,9;4333333,0
83648;10/07/1961;22,0;17,2;19,02;79,0;0,7;2,6;;2,3;2666667,0
83648;11/07/1961;23,1;17,3;19,52;86,75;0,5;1,6;;4,4;1,0
83648;12/07/1961;23,6;17,1;19,34;84,5;22,7;1,1;;4,0;1333333,0
83648;13/07/1961;26,0;17,0;20,84;73,25;9,1;1,7;;9,1;1,0
83648;14/07/1961;26,8;18,4;21,52;75,25;0,0;2,7;;8,8;1333333,0
83648;15/07/1961;26,6;17,6;21,76;68,5;;2,5;;8,9;2,0
83648;16/07/1961;28,0;19,3;22,5;69,0;0,0;2,0;;8,8;2333333,0
83648;17/07/1961;27,8;18,8;22,28;78,75;0,0;3,7;;5,2;2666667,0
83648;18/07/1961;27,2;18,7;22,24;74,5;0,0;2,3;;6,3;2,0
